score,dataset,feature_countdataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.9241946038,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,20.00,MajorityVoting
0.9196491493,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,30.00,MajorityVoting
0.9241946038,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,40.00,MajorityVoting
0.933393738,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,50.00,MajorityVoting
0.9310656398,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,60.00,MajorityVoting
0.9264673311,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,70.00,MajorityVoting
0.9286846874,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,80.00,MajorityVoting
0.926359106,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,90.00,MajorityVoting
0.9333383671,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,100.00,MajorityVoting
0.9239781536,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,20.00,ArithmeticMean
0.9262508809,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,30.00,ArithmeticMean
0.9264673311,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,40.00,ArithmeticMean
0.9332855129,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,50.00,ArithmeticMean
0.9265755562,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,60.00,ArithmeticMean
0.9285764623,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,70.00,ArithmeticMean
0.9310656398,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,80.00,ArithmeticMean
0.9265201852,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,90.00,ArithmeticMean
